Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_008728515.1		Primary Assembly	Un			VSMJ01002192.1	Chromosome		NW_022162216.1	unplaced-scaffold	7241		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002193.1	Chromosome		NW_022162217.1	unplaced-scaffold	7230		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002194.1	Chromosome		NW_022162218.1	unplaced-scaffold	7228		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002195.1	Chromosome		NW_022162220.1	unplaced-scaffold	7222		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002196.1	Chromosome		NW_022162221.1	unplaced-scaffold	7221		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002197.1	Chromosome		NW_022162222.1	unplaced-scaffold	7201		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002198.1	Chromosome		NW_022162223.1	unplaced-scaffold	7192		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002199.1	Chromosome		NW_022162224.1	unplaced-scaffold	7183		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002200.1	Chromosome		NW_022162225.1	unplaced-scaffold	7157		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002201.1	Chromosome		NW_022162226.1	unplaced-scaffold	7118		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002202.1	Chromosome		NW_022162227.1	unplaced-scaffold	7109		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002203.1	Chromosome		NW_022162228.1	unplaced-scaffold	7104		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002204.1	Chromosome		NW_022162229.1	unplaced-scaffold	7094		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002205.1	Chromosome		NW_022162231.1	unplaced-scaffold	7086		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002206.1	Chromosome		NW_022162232.1	unplaced-scaffold	7083		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002207.1	Chromosome		NW_022162233.1	unplaced-scaffold	7080		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002208.1	Chromosome		NW_022162234.1	unplaced-scaffold	7079		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002209.1	Chromosome		NW_022162235.1	unplaced-scaffold	7079		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002210.1	Chromosome		NW_022162236.1	unplaced-scaffold	7071		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002211.1	Chromosome		NW_022162237.1	unplaced-scaffold	7061		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002212.1	Chromosome		NW_022162238.1	unplaced-scaffold	7054		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002213.1	Chromosome		NW_022162239.1	unplaced-scaffold	7048		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002214.1	Chromosome		NW_022162240.1	unplaced-scaffold	7027		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002215.1	Chromosome		NW_022162243.1	unplaced-scaffold	7021		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002216.1	Chromosome		NW_022162244.1	unplaced-scaffold	6995		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002217.1	Chromosome		NW_022162245.1	unplaced-scaffold	6990		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002218.1	Chromosome		NW_022162246.1	unplaced-scaffold	6988		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002219.1	Chromosome		NW_022162247.1	unplaced-scaffold	6985		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002220.1	Chromosome		NW_022162248.1	unplaced-scaffold	6967		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002221.1	Chromosome		NW_022162249.1	unplaced-scaffold	6959		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002222.1	Chromosome		NW_022162250.1	unplaced-scaffold	6959		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002223.1	Chromosome		NW_022162251.1	unplaced-scaffold	6958		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002224.1	Chromosome		NW_022162252.1	unplaced-scaffold	6956		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002225.1	Chromosome		NW_022162254.1	unplaced-scaffold	6948		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002226.1	Chromosome		NW_022162255.1	unplaced-scaffold	6925		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002227.1	Chromosome		NW_022162256.1	unplaced-scaffold	6917		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002228.1	Chromosome		NW_022162257.1	unplaced-scaffold	6914		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002229.1	Chromosome		NW_022162258.1	unplaced-scaffold	6908		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002230.1	Chromosome		NW_022162259.1	unplaced-scaffold	6897		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002231.1	Chromosome		NW_022162260.1	unplaced-scaffold	6869		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002232.1	Chromosome		NW_022162261.1	unplaced-scaffold	6849		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002233.1	Chromosome		NW_022162262.1	unplaced-scaffold	6849		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002234.1	Chromosome		NW_022162264.1	unplaced-scaffold	6844		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002235.1	Chromosome		NW_022162265.1	unplaced-scaffold	6843		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002236.1	Chromosome		NW_022162266.1	unplaced-scaffold	6840		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002237.1	Chromosome		NW_022162267.1	unplaced-scaffold	6832		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002238.1	Chromosome		NW_022162268.1	unplaced-scaffold	6829		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002239.1	Chromosome		NW_022162269.1	unplaced-scaffold	6805		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002240.1	Chromosome		NW_022162270.1	unplaced-scaffold	6796		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002241.1	Chromosome		NW_022162271.1	unplaced-scaffold	6787		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002242.1	Chromosome		NW_022162272.1	unplaced-scaffold	6787		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002243.1	Chromosome		NW_022162274.1	unplaced-scaffold	6780		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002244.1	Chromosome		NW_022162275.1	unplaced-scaffold	6775		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002245.1	Chromosome		NW_022162276.1	unplaced-scaffold	6763		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002246.1	Chromosome		NW_022162277.1	unplaced-scaffold	6760		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002247.1	Chromosome		NW_022162278.1	unplaced-scaffold	6757		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002248.1	Chromosome		NW_022162279.1	unplaced-scaffold	6755		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002249.1	Chromosome		NW_022162280.1	unplaced-scaffold	6755		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002250.1	Chromosome		NW_022162281.1	unplaced-scaffold	6730		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002251.1	Chromosome		NW_022162282.1	unplaced-scaffold	6728		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002252.1	Chromosome		NW_022162283.1	unplaced-scaffold	6714		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002253.1	Chromosome		NW_022162285.1	unplaced-scaffold	6708		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002254.1	Chromosome		NW_022162286.1	unplaced-scaffold	6703		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002255.1	Chromosome		NW_022162287.1	unplaced-scaffold	6701		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002256.1	Chromosome		NW_022162288.1	unplaced-scaffold	6690		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002257.1	Chromosome		NW_022162289.1	unplaced-scaffold	6688		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002258.1	Chromosome		NW_022162290.1	unplaced-scaffold	6687		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002259.1	Chromosome		NW_022162291.1	unplaced-scaffold	6686		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002260.1	Chromosome		NW_022162292.1	unplaced-scaffold	6667		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002261.1	Chromosome		NW_022162293.1	unplaced-scaffold	6666		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002262.1	Chromosome		NW_022162294.1	unplaced-scaffold	6657		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002263.1	Chromosome		NW_022162296.1	unplaced-scaffold	6654		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002264.1	Chromosome		NW_022162297.1	unplaced-scaffold	6632		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002265.1	Chromosome		NW_022162298.1	unplaced-scaffold	6625		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002266.1	Chromosome		NW_022162299.1	unplaced-scaffold	6615		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002267.1	Chromosome		NW_022162300.1	unplaced-scaffold	6610		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002268.1	Chromosome		NW_022162301.1	unplaced-scaffold	6609		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002269.1	Chromosome		NW_022162302.1	unplaced-scaffold	6604		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002270.1	Chromosome		NW_022162303.1	unplaced-scaffold	6599		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002271.1	Chromosome		NW_022162304.1	unplaced-scaffold	6591		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002272.1	Chromosome		NW_022162305.1	unplaced-scaffold	6580		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002273.1	Chromosome		NW_022162307.1	unplaced-scaffold	6576		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002274.1	Chromosome		NW_022162308.1	unplaced-scaffold	6567		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002275.1	Chromosome		NW_022162309.1	unplaced-scaffold	6563		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002276.1	Chromosome		NW_022162310.1	unplaced-scaffold	6547		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002277.1	Chromosome		NW_022162311.1	unplaced-scaffold	6527		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002278.1	Chromosome		NW_022162312.1	unplaced-scaffold	6521		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002279.1	Chromosome		NW_022162313.1	unplaced-scaffold	6501		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002280.1	Chromosome		NW_022162314.1	unplaced-scaffold	6493		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002281.1	Chromosome		NW_022162315.1	unplaced-scaffold	6479		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002282.1	Chromosome		NW_022162316.1	unplaced-scaffold	6471		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002283.1	Chromosome		NW_022162318.1	unplaced-scaffold	6465		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002284.1	Chromosome		NW_022162319.1	unplaced-scaffold	6464		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002285.1	Chromosome		NW_022162320.1	unplaced-scaffold	6463		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002286.1	Chromosome		NW_022162321.1	unplaced-scaffold	6445		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002287.1	Chromosome		NW_022162322.1	unplaced-scaffold	6441		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002288.1	Chromosome		NW_022162323.1	unplaced-scaffold	6433		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002289.1	Chromosome		NW_022162324.1	unplaced-scaffold	6426		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002290.1	Chromosome		NW_022162325.1	unplaced-scaffold	6425		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002291.1	Chromosome		NW_022162326.1	unplaced-scaffold	6420		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002292.1	Chromosome		NW_022162327.1	unplaced-scaffold	6414		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002293.1	Chromosome		NW_022162329.1	unplaced-scaffold	6409		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002294.1	Chromosome		NW_022162330.1	unplaced-scaffold	6404		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002295.1	Chromosome		NW_022162331.1	unplaced-scaffold	6401		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002296.1	Chromosome		NW_022162332.1	unplaced-scaffold	6395		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002297.1	Chromosome		NW_022162333.1	unplaced-scaffold	6393		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002298.1	Chromosome		NW_022162334.1	unplaced-scaffold	6386		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002299.1	Chromosome		NW_022162335.1	unplaced-scaffold	6385		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002300.1	Chromosome		NW_022162336.1	unplaced-scaffold	6385		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002301.1	Chromosome		NW_022162337.1	unplaced-scaffold	6384		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002302.1	Chromosome		NW_022162338.1	unplaced-scaffold	6381		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002303.1	Chromosome		NW_022162340.1	unplaced-scaffold	6361		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002304.1	Chromosome		NW_022162341.1	unplaced-scaffold	6347		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002305.1	Chromosome		NW_022162342.1	unplaced-scaffold	6347		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002306.1	Chromosome		NW_022162343.1	unplaced-scaffold	6346		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002307.1	Chromosome		NW_022162344.1	unplaced-scaffold	6334		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002308.1	Chromosome		NW_022162345.1	unplaced-scaffold	6332		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002309.1	Chromosome		NW_022162346.1	unplaced-scaffold	6316		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002310.1	Chromosome		NW_022162347.1	unplaced-scaffold	6313		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002311.1	Chromosome		NW_022162348.1	unplaced-scaffold	6313		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002312.1	Chromosome		NW_022162349.1	unplaced-scaffold	6296		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002313.1	Chromosome		NW_022162352.1	unplaced-scaffold	6294		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002314.1	Chromosome		NW_022162353.1	unplaced-scaffold	6288		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002315.1	Chromosome		NW_022162354.1	unplaced-scaffold	6288		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002316.1	Chromosome		NW_022162355.1	unplaced-scaffold	6250		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002317.1	Chromosome		NW_022162356.1	unplaced-scaffold	6250		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002318.1	Chromosome		NW_022162357.1	unplaced-scaffold	6240		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002319.1	Chromosome		NW_022162358.1	unplaced-scaffold	6238		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002320.1	Chromosome		NW_022162359.1	unplaced-scaffold	6229		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002321.1	Chromosome		NW_022162360.1	unplaced-scaffold	6228		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002322.1	Chromosome		NW_022162361.1	unplaced-scaffold	6225		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002323.1	Chromosome		NW_022162363.1	unplaced-scaffold	6223		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002324.1	Chromosome		NW_022162364.1	unplaced-scaffold	6222		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002325.1	Chromosome		NW_022162365.1	unplaced-scaffold	6220		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002326.1	Chromosome		NW_022162366.1	unplaced-scaffold	6202		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002327.1	Chromosome		NW_022162367.1	unplaced-scaffold	6201		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002328.1	Chromosome		NW_022162368.1	unplaced-scaffold	6196		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002329.1	Chromosome		NW_022162369.1	unplaced-scaffold	6196		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002330.1	Chromosome		NW_022162370.1	unplaced-scaffold	6193		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002331.1	Chromosome		NW_022162371.1	unplaced-scaffold	6189		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002332.1	Chromosome		NW_022162372.1	unplaced-scaffold	6188		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002333.1	Chromosome		NW_022162374.1	unplaced-scaffold	6170		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002334.1	Chromosome		NW_022162375.1	unplaced-scaffold	6166		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002335.1	Chromosome		NW_022162376.1	unplaced-scaffold	6164		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002336.1	Chromosome		NW_022162377.1	unplaced-scaffold	6164		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002337.1	Chromosome		NW_022162378.1	unplaced-scaffold	6157		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002338.1	Chromosome		NW_022162379.1	unplaced-scaffold	6153		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002339.1	Chromosome		NW_022162380.1	unplaced-scaffold	6144		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002340.1	Chromosome		NW_022162381.1	unplaced-scaffold	6137		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002341.1	Chromosome		NW_022162382.1	unplaced-scaffold	6135		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002342.1	Chromosome		NW_022162383.1	unplaced-scaffold	6131		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002343.1	Chromosome		NW_022162385.1	unplaced-scaffold	6129		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002344.1	Chromosome		NW_022162386.1	unplaced-scaffold	6128		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002345.1	Chromosome		NW_022162387.1	unplaced-scaffold	6127		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002346.1	Chromosome		NW_022162388.1	unplaced-scaffold	6123		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002347.1	Chromosome		NW_022162389.1	unplaced-scaffold	6121		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002348.1	Chromosome		NW_022162390.1	unplaced-scaffold	6103		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002349.1	Chromosome		NW_022162391.1	unplaced-scaffold	6084		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002350.1	Chromosome		NW_022162392.1	unplaced-scaffold	6083		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002351.1	Chromosome		NW_022162393.1	unplaced-scaffold	6079		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002352.1	Chromosome		NW_022162395.1	unplaced-scaffold	6073		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002353.1	Chromosome		NW_022162396.1	unplaced-scaffold	6065		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002354.1	Chromosome		NW_022162397.1	unplaced-scaffold	6061		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002355.1	Chromosome		NW_022162398.1	unplaced-scaffold	6041		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002356.1	Chromosome		NW_022162399.1	unplaced-scaffold	6039		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002357.1	Chromosome		NW_022162400.1	unplaced-scaffold	6025		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002358.1	Chromosome		NW_022162401.1	unplaced-scaffold	6013		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002359.1	Chromosome		NW_022162402.1	unplaced-scaffold	6009		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002360.1	Chromosome		NW_022162403.1	unplaced-scaffold	6004		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002361.1	Chromosome		NW_022162404.1	unplaced-scaffold	6001		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002362.1	Chromosome		NW_022162406.1	unplaced-scaffold	5992		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002363.1	Chromosome		NW_022162407.1	unplaced-scaffold	5981		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002364.1	Chromosome		NW_022162408.1	unplaced-scaffold	5972		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002365.1	Chromosome		NW_022162409.1	unplaced-scaffold	5968		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002366.1	Chromosome		NW_022162410.1	unplaced-scaffold	5960		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002367.1	Chromosome		NW_022162411.1	unplaced-scaffold	5933		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002368.1	Chromosome		NW_022162412.1	unplaced-scaffold	5933		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002369.1	Chromosome		NW_022162413.1	unplaced-scaffold	5913		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002370.1	Chromosome		NW_022162414.1	unplaced-scaffold	5905		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002371.1	Chromosome		NW_022162415.1	unplaced-scaffold	5905		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002372.1	Chromosome		NW_022162417.1	unplaced-scaffold	5905		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002373.1	Chromosome		NW_022162418.1	unplaced-scaffold	5904		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002374.1	Chromosome		NW_022162419.1	unplaced-scaffold	5896		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002375.1	Chromosome		NW_022162420.1	unplaced-scaffold	5896		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002376.1	Chromosome		NW_022162421.1	unplaced-scaffold	5890		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002377.1	Chromosome		NW_022162422.1	unplaced-scaffold	5886		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002378.1	Chromosome		NW_022162423.1	unplaced-scaffold	5875		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002379.1	Chromosome		NW_022162424.1	unplaced-scaffold	5874		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002380.1	Chromosome		NW_022162425.1	unplaced-scaffold	5873		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002381.1	Chromosome		NW_022162426.1	unplaced-scaffold	5870		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002382.1	Chromosome		NW_022162428.1	unplaced-scaffold	5866		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002383.1	Chromosome		NW_022162429.1	unplaced-scaffold	5865		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002384.1	Chromosome		NW_022162430.1	unplaced-scaffold	5852		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002385.1	Chromosome		NW_022162431.1	unplaced-scaffold	5850		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002386.1	Chromosome		NW_022162432.1	unplaced-scaffold	5849		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002387.1	Chromosome		NW_022162433.1	unplaced-scaffold	5826		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002388.1	Chromosome		NW_022162434.1	unplaced-scaffold	5823		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002389.1	Chromosome		NW_022162435.1	unplaced-scaffold	5822		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002390.1	Chromosome		NW_022162436.1	unplaced-scaffold	5821		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002391.1	Chromosome		NW_022162437.1	unplaced-scaffold	5815		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002392.1	Chromosome		NW_022162439.1	unplaced-scaffold	5798		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002393.1	Chromosome		NW_022162440.1	unplaced-scaffold	5788		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002394.1	Chromosome		NW_022162441.1	unplaced-scaffold	5785		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002395.1	Chromosome		NW_022162442.1	unplaced-scaffold	5780		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002396.1	Chromosome		NW_022162443.1	unplaced-scaffold	5779		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002397.1	Chromosome		NW_022162444.1	unplaced-scaffold	5771		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002398.1	Chromosome		NW_022162445.1	unplaced-scaffold	5764		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002399.1	Chromosome		NW_022162446.1	unplaced-scaffold	5758		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002400.1	Chromosome		NW_022162447.1	unplaced-scaffold	5738		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002401.1	Chromosome		NW_022162449.1	unplaced-scaffold	5737		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002402.1	Chromosome		NW_022162450.1	unplaced-scaffold	5735		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002403.1	Chromosome		NW_022162451.1	unplaced-scaffold	5727		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002404.1	Chromosome		NW_022162452.1	unplaced-scaffold	5713		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002405.1	Chromosome		NW_022162453.1	unplaced-scaffold	5708		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002406.1	Chromosome		NW_022162454.1	unplaced-scaffold	5695		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002407.1	Chromosome		NW_022162455.1	unplaced-scaffold	5693		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002408.1	Chromosome		NW_022162456.1	unplaced-scaffold	5688		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002409.1	Chromosome		NW_022162459.1	unplaced-scaffold	5687		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002410.1	Chromosome		NW_022162460.1	unplaced-scaffold	5669		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002411.1	Chromosome		NW_022162461.1	unplaced-scaffold	5667		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002412.1	Chromosome		NW_022162462.1	unplaced-scaffold	5664		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002413.1	Chromosome		NW_022162463.1	unplaced-scaffold	5661		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002414.1	Chromosome		NW_022162464.1	unplaced-scaffold	5658		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002415.1	Chromosome		NW_022162465.1	unplaced-scaffold	5646		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002416.1	Chromosome		NW_022162466.1	unplaced-scaffold	5635		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002417.1	Chromosome		NW_022162467.1	unplaced-scaffold	5626		
GCF_008728515.1		Primary Assembly	Un			VSMJ01002418.1	Chromosome		NW_022162468.1	unplaced-scaffold	5624		
