Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Individual,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,isolate
SRR2565906,not applicable,WGS,100,91233800,PRJNA295782,SAMN04096026,Model organism or animal,not applicable,31295237,DUKE UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1307902,GK_008,Illumina HiSeq 2500,GK_008,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_008,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565907,not applicable,WGS,100,96849900,PRJNA295782,SAMN04096027,Model organism or animal,not applicable,33349982,DUKE UNIVERSITY,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307903,GK_009,Illumina HiSeq 2500,GK_009,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_009,female,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565908,not applicable,WGS,100,85112500,PRJNA295782,SAMN04096028,Model organism or animal,not applicable,29587040,DUKE UNIVERSITY,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1307904,GK_010,Illumina HiSeq 2500,GK_010,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_010,female,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565909,not applicable,WGS,100,143500600,PRJNA295782,SAMN04096029,Model organism or animal,not applicable,49313414,DUKE UNIVERSITY,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1307905,GK_011,Illumina HiSeq 2500,GK_011,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_011,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565910,not applicable,WGS,100,100452300,PRJNA295782,SAMN04096030,Model organism or animal,not applicable,34361075,DUKE UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307906,GK_012,Illumina HiSeq 2500,GK_012,SINGLE,Hybrid Selection,GENOMIC,Papio papio,ILLUMINA,2016-04-14T00:00:00Z,GK_012,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,
SRR2565911,not applicable,WGS,101,12424861228,PRJNA295782,SAMN04096031,Model organism or animal,not applicable,7488946879,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1307907,LIT_fDNA,Illumina HiSeq 2500,LIT_fDNA,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,LIT_fDNA,female,SRP064514,fecal-derived DNA,2015-10-06T16:47:00Z,1,
SRR2565912,not applicable,WGS,300,33298493100,PRJNA295782,SAMN04096032,Model organism or animal,not applicable,13523589229,DUKE UNIVERSITY,public,"sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1307908,LIT_gDNA,Illumina HiSeq 2500,LIT_gDNA,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,LIT_gDNA,female,SRP064514,blood-derived DNA,2015-10-14T18:52:00Z,1,
SRR2565913,not applicable,WGS,100,13450095300,PRJNA295782,SAMN04096033,Model organism or animal,not applicable,4770747318,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307909,HAP_fDNA,Illumina HiSeq 2500,HAP_fDNA,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,HAP_fDNA,male,SRP064514,fecal-derived DNA,2015-10-06T14:48:00Z,1,
SRR2565914,not applicable,WGS,300,90859442100,PRJNA295782,SAMN04096034,Model organism or animal,not applicable,37602569776,DUKE UNIVERSITY,public,"run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1307910,HAP_gDNA,Illumina HiSeq 2500,HAP_gDNA,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,HAP_gDNA,male,SRP064514,blood-derived DNA,2015-10-14T19:33:00Z,1,
SRR2565915,not applicable,WGS,100,53667300,PRJNA295782,SAMN04099736,Model organism or animal,not applicable,19429131,DUKE UNIVERSITY,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307911,AMB_053,Illumina HiSeq 2500,AMB_053,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_053,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,LOU
SRR2565916,not applicable,WGS,100,56403600,PRJNA295782,SAMN04099737,Model organism or animal,not applicable,20181959,DUKE UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1307912,AMB_054,Illumina HiSeq 2500,AMB_054,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_054,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,YOK
SRR2565917,not applicable,WGS,100,53211400,PRJNA295782,SAMN04099738,Model organism or animal,not applicable,19281125,DUKE UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307913,AMB_055,Illumina HiSeq 2500,AMB_055,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_055,female,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,WRI
SRR2565918,not applicable,WGS,100,158888600,PRJNA295782,SAMN04099739,Model organism or animal,not applicable,54271165,DUKE UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1307914,AMB_056,Illumina HiSeq 2500,AMB_056,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_056,female,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,WIR
SRR2565919,not applicable,WGS,100,251386200,PRJNA295782,SAMN04099740,Model organism or animal,not applicable,86250768,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1307915,AMB_057,Illumina HiSeq 2500,AMB_057,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_057,male,SRP064514,fecal-derived DNA,2015-10-06T14:06:00Z,1,WER
SRR2565920,not applicable,WGS,100,126208700,PRJNA295782,SAMN04099741,Model organism or animal,not applicable,43172607,DUKE UNIVERSITY,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1307916,AMB_058,Illumina HiSeq 2500,AMB_058,SINGLE,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_058,female,SRP064514,fecal-derived DNA,2015-10-06T14:05:00Z,1,WEN
SRR2566816,not applicable,WGS,51,5229429993,PRJNA295782,SAMN04096031,Model organism or animal,not applicable,3524159911,DUKE UNIVERSITY,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1308524,LIT_fDNA,Illumina HiSeq 2500,LIT_fDNA,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,LIT_fDNA,female,SRP064514,fecal-derived DNA,2015-10-06T15:52:00Z,1,
SRR2650000,not applicable,WGS,300,32604424200,PRJNA295782,SAMN04096032,Model organism or animal,not applicable,12774236043,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307908,LIT_gDNA,Illumina HiSeq 2500,LIT_gDNA,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,LIT_gDNA,female,SRP064514,blood-derived DNA,2015-10-14T19:04:00Z,1,
SRR2650075,not applicable,WGS,202,24376647748,PRJNA295782,SAMN04096032,Model organism or animal,not applicable,16149332161,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307908,LIT_gDNA,Illumina HiSeq 2500,LIT_gDNA,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,LIT_gDNA,female,SRP064514,blood-derived DNA,2015-10-14T20:11:00Z,1,
