Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,BREED,Cultivar,dev_stage,Ecotype,strain
SRR8285746,missing,WGS,214,24837203158,PRJNA433868,SAMN10524538,Model organism or animal,19762716512,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5100412,Illumina HiSeq 2500,1X4811,JT2-matepair_GCCAAT_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-10T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-10T02:40:00Z,1,missing,missing,missing,missing,missing
SRR8285747,missing,WGS,298,153105114241,PRJNA433868,SAMN10524553,Model organism or animal,65308589851,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5100411,Illumina HiSeq 2500,1X0812,H5CVJALXX_4_160823_FR07886420_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0812,missing,SRP132725,missing,2018-12-06T17:45:00Z,1,missing,missing,missing,missing,missing
SRR8285748,missing,WGS,298,101757147235,PRJNA433868,SAMN10524554,Model organism or animal,42408882535,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5100410,Illumina HiSeq 2500,1X0035,H55YCALXX_1_160823_FR07886425_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0035,missing,SRP132725,missing,2018-12-06T15:24:00Z,1,missing,missing,missing,missing,missing
SRR8285749,missing,WGS,297,108946373165,PRJNA433868,SAMN10524555,Model organism or animal,44992721322,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5100409,Illumina HiSeq 2500,1X0153,H55YCALXX_2_160823_FR07886426_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0153,missing,SRP132725,missing,2018-12-06T15:21:00Z,1,missing,missing,missing,missing,missing
SRR8285750,missing,WGS,202,18922785108,PRJNA433868,SAMN10524538,Model organism or animal,12129208890,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5100408,Illumina HiSeq 2500,1X4811,JW2_CTTGTA_L001,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-06T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-06T12:36:00Z,1,missing,missing,missing,missing,missing
SRR8285751,missing,WGS,295,121841685263,PRJNA433868,SAMN10524539,Model organism or animal,50397604157,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5100407,Illumina HiSeq 2500,1X0102,HV2TKCCXX_7_160403_FR07921249_Other__R_151123_JEFWAL_M007,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-06T00:00:00Z,1X0102,missing,SRP132725,missing,2018-12-06T16:32:00Z,1,missing,missing,missing,missing,missing
SRR8285752,missing,WGS,296,135120027953,PRJNA433868,SAMN10524557,Model organism or animal,59740301004,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5100406,Illumina HiSeq 2500,1X4384,HKKKKCCXX_6_160403_FR07921206_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-06T00:00:00Z,1X4384,missing,SRP132725,missing,,,missing,missing,missing,missing,missing
SRR8285753,missing,WGS,296,141315606305,PRJNA433868,SAMN10524558,Model organism or animal,58392327285,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5100405,Illumina HiSeq 2500,1X3162,HGTGYCCXX_4_160403_FR07921212_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X3162,missing,SRP132725,missing,2018-12-06T18:51:00Z,1,missing,missing,missing,missing,missing
SRR8285754,missing,WGS,285,95599046163,PRJNA433868,SAMN10524556,Model organism or animal,40694422582,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5100404,Illumina HiSeq 2500,1X2891,HKKGWCCXX_6_160403_FR07919467_Other__R_151123_JEFWAL_M007,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X2891,missing,SRP132725,missing,2018-12-06T16:37:00Z,1,missing,missing,missing,missing,missing
SRR8285755,missing,WGS,214,2782376854,PRJNA433868,SAMN10524538,Model organism or animal,1612109259,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5100403,Illumina HiSeq 2500,1X4811,JT6-matepair-1_CGATGT_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-11T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-11T15:19:00Z,1,missing,missing,missing,missing,missing
SRR8285756,missing,WGS,214,1193714684,PRJNA433868,SAMN10524538,Model organism or animal,832554027,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5100402,Illumina HiSeq 2500,1X4811,JT6-matepair-2_CAGATC_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-07T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-07T19:39:00Z,1,missing,missing,missing,missing,missing
SRR8285757,missing,WGS,214,4274733888,PRJNA433868,SAMN10524538,Model organism or animal,2403416185,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5100401,Illumina HiSeq 2500,1X4811,JT5-matepair-3_GTCCGC_L001,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-11T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-11T17:12:00Z,1,missing,missing,missing,missing,missing
SRR8285758,missing,WGS,214,4911253348,PRJNA433868,SAMN10524538,Model organism or animal,2826009861,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5100400,Illumina HiSeq 2500,1X4811,JT5-matepair-4_GTGAAA_L001,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-07T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-07T15:45:00Z,1,missing,missing,missing,missing,missing
SRR8285759,missing,WGS,214,2038168956,PRJNA433868,SAMN10524538,Model organism or animal,1182434492,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5100399,Illumina HiSeq 2500,1X4811,JT6-matepair-5_GTGAAA_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-12T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-11T15:20:00Z,1,missing,missing,missing,missing,missing
SRR8285760,missing,WGS,202,17110219716,PRJNA433868,SAMN10524538,Model organism or animal,10601381971,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5100398,Illumina HiSeq 2500,1X4811,JW1_GCCAAT_L001,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-06T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-06T12:35:00Z,1,missing,missing,missing,missing,missing
SRR8285761,missing,WGS,214,13565986226,PRJNA433868,SAMN10524538,Model organism or animal,8044260430,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5100397,Illumina HiSeq 2500,1X4811,JT6-matepair-3_CTTGTA_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-12T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-11T15:22:00Z,1,missing,missing,missing,missing,missing
SRR8285762,missing,WGS,214,1763187730,PRJNA433868,SAMN10524538,Model organism or animal,1015719950,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5100396,Illumina HiSeq 2500,1X4811,JT6-matepair-4_GTCCGC_L002,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2018-12-11T00:00:00Z,1X4811,missing,SRP132725,missing,2018-12-11T15:38:00Z,1,missing,missing,missing,missing,missing
SRR8285763,missing,WGS,298,150021446058,PRJNA433868,SAMN10524550,Model organism or animal,63849484300,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5100395,Illumina HiSeq 2500,1X0580,H5755ALXX_5_160823_FR07886405_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0580,missing,SRP132725,missing,2018-12-06T18:35:00Z,1,missing,missing,missing,missing,missing
SRR8285764,missing,WGS,297,127129037163,PRJNA433868,SAMN10524551,Model organism or animal,58457801124,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5100394,Illumina HiSeq 2500,1X0951,H5CV3ALXX_5_160823_FR07886413_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0951,missing,SRP132725,missing,2018-12-06T16:32:00Z,1,missing,missing,missing,missing,missing
SRR8285765,missing,WGS,298,143817575009,PRJNA433868,SAMN10524552,Model organism or animal,71078448276,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5100393,Illumina HiSeq 2500,1X0014,HYF33CCXX_7_160823_FR07886416_Other__R_160531_JEFWAL_DNA_M001,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0014,missing,SRP132725,missing,2018-12-06T18:52:00Z,1,missing,missing,missing,missing,missing
SRR8285766,missing,WGS,292,127968342794,PRJNA433868,SAMN10524564,Model organism or animal,59109037177,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5100392,Illumina HiSeq 2500,1_1979,HN2GWCCXX_4_160403_FR07921245_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1_1979,missing,SRP132725,missing,2018-12-06T16:30:00Z,1,missing,missing,missing,missing,missing
SRR8285767,missing,WGS,290,116488530429,PRJNA433868,SAMN10524563,Model organism or animal,47234903504,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5100391,Illumina HiSeq 2500,1X0808,HGTVTCCXX_2_160403_FR07921241_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X0808,missing,SRP132725,missing,2018-12-06T16:48:00Z,1,missing,missing,missing,missing,missing
SRR8285768,missing,WGS,287,141569906623,PRJNA433868,SAMN10524549,Model organism or animal,65449285405,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5100390,Illumina HiSeq 2500,1X1126,HKKCTCCXX_3_160403_FR07921226_Other__R_151123_JEFWAL_M008,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-12-06T00:00:00Z,1X1126,missing,SRP132725,missing,2018-12-06T19:08:00Z,1,missing,missing,missing,missing,missing
SRR6956858,not collected,WGS,198,22493245509,PRJNA433868,SAMN08887735,Model organism or animal,15767444919,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3899924,Illumina HiSeq 2500,16409,16409,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16409,not collected,SRP132725,missing,2018-04-06T23:02:00Z,1,,,,,
SRR6956859,not collected,WGS,198,22928534837,PRJNA433868,SAMN08887730,Model organism or animal,14372254808,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3899923,Illumina HiSeq 2500,16420,16420,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16420,not collected,SRP132725,missing,2018-04-06T23:55:00Z,1,,,,,
SRR6956860,not collected,WGS,198,29539023886,PRJNA433868,SAMN08887754,Model organism or animal,20425354577,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3899922,Illumina HiSeq 2500,16243,16243,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16243,not collected,SRP132725,missing,2018-04-06T23:41:00Z,1,,,,,
SRR6956861,not collected,WGS,198,29639653455,PRJNA433868,SAMN08887755,Model organism or animal,20670777335,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3899921,Illumina HiSeq 2500,16261,16261,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16261,not collected,SRP132725,missing,2018-04-06T23:39:00Z,1,,,,,
SRR6956871,not collected,WGS,198,15960935213,PRJNA433868,SAMN08887703,Model organism or animal,10143517495,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899911,Illumina HiSeq 2500,15553,15553,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15553,not collected,SRP132725,missing,2018-04-06T22:49:00Z,1,,,,,
SRR6956885,not collected,WGS,197,13566318664,PRJNA433868,SAMN08887694,Model organism or animal,8878715098,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3899897,Illumina HiSeq 2500,14427,14427,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,14427,not collected,SRP132725,missing,2018-04-06T22:44:00Z,1,,,,,
SRR6956891,not collected,WGS,198,17909234487,PRJNA433868,SAMN08887715,Model organism or animal,11737644722,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3899891,Illumina HiSeq 2500,15599,15599,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15599,not collected,SRP132725,missing,2018-04-06T23:28:00Z,1,,,,,
SRR6956893,not collected,WGS,198,28020404279,PRJNA433868,SAMN08887745,Model organism or animal,18347897121,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3899889,Illumina HiSeq 2500,15845,15845,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15845,not collected,SRP132725,missing,2018-04-06T23:17:00Z,1,,,,,
SRR6956894,not collected,WGS,300,27201766500,PRJNA433868,SAMN08887723,Model organism or animal,11219983608,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3899888,HiSeq X Ten,16067,16067,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16067,not collected,SRP132725,missing,2018-04-06T23:01:00Z,1,,,,,
SRR6956895,not collected,WGS,300,16419033300,PRJNA433868,SAMN08887665,Model organism or animal,6857148763,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3899887,HiSeq X Ten,16092,16092,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16092,not collected,SRP132725,missing,2018-04-06T22:39:00Z,1,,,,,
SRR6956896,not collected,WGS,300,23907295800,PRJNA433868,SAMN08887717,Model organism or animal,10326666894,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899886,HiSeq X Ten,16263,16263,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16263,not collected,SRP132725,missing,2018-04-06T23:29:00Z,1,,,,,
SRR6956920,not collected,WGS,198,13131289008,PRJNA433868,SAMN08887690,Model organism or animal,8553432411,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3899862,Illumina HiSeq 2500,18004,18004,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18004,not collected,SRP132725,missing,2018-04-06T22:44:00Z,1,,,,,
SRR6956922,not collected,WGS,300,18538210800,PRJNA433868,SAMN08887676,Model organism or animal,7949645766,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3899860,HiSeq X Ten,13951,13951,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,13951,not collected,SRP132725,missing,2018-04-06T22:46:00Z,1,,,,,
SRR6956925,not collected,WGS,300,26863896300,PRJNA433868,SAMN08887719,Model organism or animal,11406278083,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899857,HiSeq X Ten,13942,13942,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,13942,not collected,SRP132725,missing,2018-04-06T23:07:00Z,1,,,,,
SRR6956942,not collected,WGS,198,16977678521,PRJNA433868,SAMN08887708,Model organism or animal,10650503264,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899840,Illumina HiSeq 2500,19154,19154,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,19154,not collected,SRP132725,missing,2018-04-06T22:53:00Z,1,,,,,
SRR6956943,not collected,WGS,198,20432418074,PRJNA433868,SAMN08887725,Model organism or animal,12732349060,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3899839,Illumina HiSeq 2500,16816,16816,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16816,not collected,SRP132725,missing,2018-04-06T23:05:00Z,1,,,,,
SRR6956944,not collected,WGS,198,27550304649,PRJNA433868,SAMN08887742,Model organism or animal,17259575211,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3899838,Illumina HiSeq 2500,19012,19012,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,19012,not collected,SRP132725,missing,2018-04-06T23:19:00Z,1,,,,,
SRR6956945,not collected,WGS,198,10175590502,PRJNA433868,SAMN08887646,Model organism or animal,6350690728,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3899837,Illumina HiSeq 2500,17174,17174,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,17174,not collected,SRP132725,missing,2018-04-06T22:35:00Z,1,,,,,
SRR6956946,not collected,WGS,198,5546993859,PRJNA433868,SAMN08887639,Model organism or animal,3467148510,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3899836,Illumina HiSeq 2500,16569,16569,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16569,not collected,SRP132725,missing,2018-04-06T22:24:00Z,1,,,,,
SRR6956947,not collected,WGS,198,11916630894,PRJNA433868,SAMN08887667,Model organism or animal,7459252305,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3899835,Illumina HiSeq 2500,18892,18892,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18892,not collected,SRP132725,missing,2018-04-06T22:41:00Z,1,,,,,
SRR6956948,not collected,WGS,198,26846021596,PRJNA433868,SAMN08887738,Model organism or animal,16657705279,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3899834,Illumina HiSeq 2500,16775,16775,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16775,not collected,SRP132725,missing,2018-04-06T23:28:00Z,1,,,,,
SRR6956949,not collected,WGS,198,18421841858,PRJNA433868,SAMN08887718,Model organism or animal,11505807223,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3899833,Illumina HiSeq 2500,16731,16731,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16731,not collected,SRP132725,missing,2018-04-06T22:57:00Z,1,,,,,
SRR6956950,not collected,WGS,198,17183566767,PRJNA433868,SAMN08887706,Model organism or animal,10716494157,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3899832,Illumina HiSeq 2500,16562,16562,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16562,not collected,SRP132725,missing,2018-08-10T13:14:00Z,2,,,,,
SRR6956951,not collected,WGS,198,32361985643,PRJNA433868,SAMN08887753,Model organism or animal,19740946538,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3899831,Illumina HiSeq 2500,16743,16743,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16743,not collected,SRP132725,missing,2018-04-06T23:55:00Z,1,,,,,
SRR6956952,not collected,WGS,198,26222579851,PRJNA433868,SAMN08887739,Model organism or animal,16376211418,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3899830,Illumina HiSeq 2500,17833,17833,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,17833,not collected,SRP132725,missing,2018-04-06T23:30:00Z,1,,,,,
SRR6956953,not collected,WGS,198,10945841099,PRJNA433868,SAMN08887653,Model organism or animal,6800520066,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3899829,Illumina HiSeq 2500,16059,16059,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16059,not collected,SRP132725,missing,2018-04-06T22:58:00Z,1,,,,,
SRR6956954,not collected,WGS,198,20848812801,PRJNA433868,SAMN08887728,Model organism or animal,12982725286,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3899828,Illumina HiSeq 2500,16815,16815,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16815,not collected,SRP132725,missing,2018-04-06T23:08:00Z,1,,,,,
SRR6956955,not collected,WGS,198,9117101443,PRJNA433868,SAMN08887642,Model organism or animal,5699542972,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3899827,Illumina HiSeq 2500,15996,15996,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,15996,not collected,SRP132725,missing,2018-04-06T22:35:00Z,1,,,,,
SRR6956956,not collected,WGS,198,38196972696,PRJNA433868,SAMN08887760,Model organism or animal,23980871397,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899826,Illumina HiSeq 2500,16862,16862,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16862,not collected,SRP132725,missing,2018-04-07T00:15:00Z,1,,,,,
SRR6956957,not collected,WGS,198,26236880258,PRJNA433868,SAMN08887740,Model organism or animal,16162621774,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899825,Illumina HiSeq 2500,18818,18818,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,18818,not collected,SRP132725,missing,2018-04-06T23:31:00Z,1,,,,,
SRR6956958,not collected,WGS,300,14683981200,PRJNA433868,SAMN08887650,Model organism or animal,6093111750,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3899824,HiSeq X Ten,15157,15157,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,15157,not collected,SRP132725,missing,2018-04-06T22:39:00Z,1,,,,,
